"time","longitude","latitude","mag","Dampak"
"2020-02-23T06:49:55.826Z","108.9201","-6.8841","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-02-21T00:57:18.236Z","107.6526","-7.4707","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-02-17T12:11:45.998Z","105.9296","-7.3064","4.7","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-02-10T05:22:56.635Z","105.2929","-6.768","4.9","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-02-05T18:34:38.219Z","113.1164","-6.2187","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-02-05T18:12:37.734Z","113.0778","-6.0817","6.2","Mampu membuat kerusakan sampai area sejauh 160 km."
"2020-02-05T10:49:35.011Z","106.0456","-7.4507","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-01-19T13:31:12.857Z","107.682","-7.0864","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-01-13T05:19:53.271Z","106.1728","-7.1159","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-01-10T22:06:32.716Z","108.0142","-7.746","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-01-08T22:05:33.881Z","107.9297","-7.7621","4.6","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-01-05T23:12:24.295Z","107.4548","-8.0046","4.9","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2020-01-04T22:55:47.842Z","112.5814","-8.5966","4.7","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-12-26T07:22:11.473Z","106.8581","-7.7539","4.7","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-12-16T12:52:33.978Z","106.0015","-7.1634","4.8","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-12-15T03:36:28.111Z","107.0228","-7.7109","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-12-10T15:45:35.429Z","108.5045","-7.8768","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-11-14T19:10:52.289Z","106.9316","-6.9394","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-11-09T01:19:44.806Z","108.1636","-7.6339","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-11-01T08:38:10.866Z","108.062","-7.7631","4.8","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-10-31T01:56:15.542Z","108.4412","-7.8484","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-10-14T11:34:02.214Z","109.3923","-8.2152","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-10-09T08:21:55.805Z","109.0363","-8.1516","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-09-27T18:04:58.450Z","105.8531","-7.3428","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-09-20T13:15:30.685Z","106.1703","-7.0104","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-09-19T07:32:58.793Z","111.8968","-6.0534","5.6","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2019-09-19T07:32:01.582Z","111.8877","-6.0586","5.9","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2019-09-19T07:06:33.291Z","111.8422","-6.0708","6.1","Mampu membuat kerusakan sampai area sejauh 160 km."
"2019-09-07T03:56:12.617Z","107.2296","-8.1167","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-09-04T08:36:30.813Z","111.9504","-7.9768","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-08-28T15:26:48.693Z","109.0341","-8.3132","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-08-25T12:48:46.843Z","108.9742","-7.9083","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-08-24T12:45:51.418Z","112.5809","-8.5691","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-08-17T17:23:36.896Z","108.9996","-6.7177","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-08-17T05:18:28.404Z","106.0319","-7.2625","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-08-10T13:26:45.560Z","110.1978","-8.4024","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-08-03T20:31:20.040Z","106.9644","-8.0448","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-08-02T17:22:04.730Z","106.6077","-7.0053","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-08-01T08:39:10.243Z","114.087","-8.2793","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2019-07-28T14:25:02.625Z","106.1423","-6.9777","5.1","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2019-07-28T13:32:46.317Z","105.1944","-7.6811","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
